epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1656.25,1.00834,0.74099,1.32242,0.88522,0.80588,0.85536,0.47597,1.53807,0.7574,1.92365,0.0003566,0.0003566,0.0003566
85,1675.77,0.99262,0.72095,1.31286,0.90347,0.79412,0.85425,0.46799,1.59966,0.76935,1.96909,0.0003368,0.0003368,0.0003368
86,1695.39,0.98774,0.71791,1.30724,0.87955,0.8,0.85809,0.47012,1.58045,0.77261,1.95356,0.000317,0.000317,0.000317
87,1715.06,0.99704,0.70917,1.30371,0.88654,0.81765,0.86436,0.47293,1.6094,0.75882,1.98869,0.0002972,0.0002972,0.0002972
88,1735.08,0.99074,0.71977,1.31069,0.85833,0.83922,0.85803,0.46607,1.55795,0.76577,1.92849,0.0002774,0.0002774,0.0002774
89,1754.91,0.98357,0.71496,1.30645,0.88411,0.82157,0.85749,0.4655,1.58168,0.77056,1.9676,0.0002576,0.0002576,0.0002576
90,1774.57,0.97609,0.70965,1.30118,0.89053,0.84314,0.85518,0.47022,1.56533,0.76214,1.95626,0.0002378,0.0002378,0.0002378
91,1795.04,0.91076,0.52314,1.30281,0.88129,0.81518,0.8439,0.47155,1.54091,0.77165,1.92338,0.000218,0.000218,0.000218
92,1814.31,0.8825,0.49158,1.285,0.87909,0.80196,0.84506,0.4732,1.53203,0.77103,1.93356,0.0001982,0.0001982,0.0001982
93,1833.57,0.85919,0.47902,1.27009,0.89093,0.80196,0.85576,0.47334,1.55091,0.7693,1.95124,0.0001784,0.0001784,0.0001784
94,1852.82,0.86921,0.47936,1.27943,0.89373,0.81765,0.85695,0.47329,1.53636,0.76636,1.92738,0.0001586,0.0001586,0.0001586
95,1872.12,0.84615,0.46812,1.25621,0.89423,0.81232,0.85119,0.47505,1.53431,0.75251,1.93981,0.0001388,0.0001388,0.0001388
96,1891.82,0.84308,0.46698,1.25646,0.891,0.80144,0.85329,0.47323,1.5234,0.75638,1.9281,0.000119,0.000119,0.000119
97,1911.12,0.83525,0.45769,1.25036,0.8838,0.81569,0.85348,0.47807,1.51224,0.77001,1.92173,9.92e-05,9.92e-05,9.92e-05
98,1930.69,0.81546,0.44588,1.24253,0.88739,0.81961,0.85519,0.48139,1.49564,0.75052,1.91312,7.94e-05,7.94e-05,7.94e-05
99,1950.06,0.81459,0.44135,1.23519,0.88936,0.81373,0.84919,0.47774,1.51366,0.75332,1.93483,5.96e-05,5.96e-05,5.96e-05
100,1969.48,0.80466,0.44076,1.22812,0.88846,0.81213,0.84669,0.47699,1.51583,0.75566,1.9431,3.98e-05,3.98e-05,3.98e-05
